а-агш	а-агш (абх.) Salalbana L. Уапшы псахъвакIахвхва\n1. ива белая;\n
а-бацв	а-бацв (абх.) Mespilus germanica L.\n1. мушмула германская;\nКустарник или дерево до 6 м высотой. Ветви с колючками. Листья продолговатые, цельнокрайние или мелкозубчатые. Цветки одиночные на концах веточек. Лепестки яйцевидные, белые. Цветет в апреле-сентябре, плоды созревают в августе-сентябре.Растет в нижней полосе лесного пояса, в лесах, среди кустарников, по опушкам, на освещенных местах.
а-бгызыр	а-бгызыр (абх.) Cornus mas L. Уапшы зары\n1. кизил обыкновенный;\n2. кизил мужской;\n
а-бжарца	а-бжарца (абх.) Polygonum persicarL.\n1. горец почечуйный;\nОднолетнее травянистое растение до 80 см высотой. Стебли приподнимающиеся, ветвистые. Листья ланцетные. Кисти конечные и на пазушных цветоносах густые. Семянки плоские, реже трехгранные, черные, блестящие.Растет на низменности, по долинам рек, на влажных местах.Медонос.Находит применение в народной медицине.
а-бжьынцIы	а-бжьынцAzalea pontica L.\n1. азалия желтая;\nКустарник до 2 м высотой;\n стебель ветвистый;\n цветет желтыми цветами, листья ланцетные;\n растет по опушкам леса.
а-биа	а-биа (абх.) Cydonoblonga Mill.\n1. айва обыкновенная;\nДерево или кустарник до 5 м высотой. Листья яйцевидные, цельнокройные до 12 см длины и 7 см ширины, черешки густовойлочные. Лепестки розовые, яйцевидные. Плод крупный, овальный до 12 см длины. Цветет в апреле-мае. Плоды созревают в сентябре-октябре.Растет в нижнем лесном поясе. По-видимому, одичавшее. Плоды съедобны, находят в народной медицине применение.
а-бнарахана	а-бнарахана (абх.) Mentha L.\n1. мята;\n
а-бхэа	а-бхэа (абх.) Prynus domestica L. Уапшы хIваса\n1. слива домашняя;\n
а-бынраса	а-бынраса (абх.) Corylus avellana L. Уапшы раса\n1. орешник;\n2. лещина обыкновенная;\n
а-гуил	а-гуил (абх.) Rosa L. Уапшы лагвырчIвымыгъ\n1. роза;\n2. шиповник;\n
а-гш	а-гш (абх.) Populus L.\n1. тополь;\n
а-гьыл	а-гьыл (абх.) Rosa L. Уапшы лагвырчIвымыгъ\n1. роза;\n2. шиповник;\n
а-джаква	а-джаква (абх.) Helleborus caucasicus A. Br.\n1. зимовник кавказский;\nМноголетнее травянистое растение высотой до 60 см. Прикорневые листья длинночерешковые, пальчаторассеченные. Околоцветник сильно варьирует.Растет в нижнем лесном поясе до 1000 м. Широко распространенное растение, встречающееся в светлых дубовых, грабовых лесах, среди кустарников, по опушкам, на открытых склонах. Предпочитает известняки.
а-джампаз	а-джампаз (абх.) Phytolacca americana L.\n1. лаконос американский;\n2. трава жирная;\nМноголетнее растение до 3 м высоты. Стебли прямостоячие, ветвистые, часто краснеющие. Листья яйцевидные, короткочерешковые, цельнокрайние, голые. Кисти супротивные. Цветки около 5 мм длины. Листочки белые, овальные, позже краснеющие. Плоды округлые, черно-фиолетовые, сочные.Растет во всем лесном поясе, преимущественно на открытых полянах, на опушках.Растение применяется в народной медицине.Декоративное.
а-дзизва	а-дзизва (абх.) DigitalschischkinJvanina.\n1. наперстянка Шишкина;\nМноголетник до 50-120 см высотой. Стебли прямостоячие, листья ланцетно-линейные. Цветки в длинных густых кистях. Венчик желтый. Плод — коробочка, яйцевидная, острая.Обычный вид лесного пояса. Растет в светлых лесах, на полянах, на опушках, среди кустарников.Растение лекарственное, заслуживает введение в культуру Медонос.
а-дзыкрын	а-дзыкрын (абх.) Viola L. Уапшы апхъагIайыра\n1. фиалка;\n
а-дырзы	а-дырзы (абх.) Rumex alpinus L.\n1. щавель альпийский;\nМноголетнее травянистое растение до 1,5 м высотой. Корневище мощное, ползучее. Стебель одиночный, прямой. Листья длинночерешковые, широко округлые. Соцветие — сжатая метелка. Цветет в июне-августе.Растет в альпийском поясе и в безлесных долинах верхнего лесного пояса.
а-жамрахушь	а-жамрахушь (абх.) Rumex obtusifolius L.\n1. щавель туполистный;\nТравянистое сорное растение до 1 м высотой. Стебли прямостоячие, в верхней части ветвистые. Листья продолговатые, у основания сердцевидные. Цветет в апреле-сентябре. Цветки в расставленных мутовках.Растет в лесном поясе до 2000 м над уровнем моря. Преимущественно во влажных типах леса, на опушках, полянах, у ручейков, реже на лугах.
а-жсмыг	а-жсмыг (абх.) Rubus caesius L. Уапшы жвумпаларчIва\n1. ежевика сизая;\n2. ожина;\n
а-жц	а-жц (абх.) Rubus L. Уапшы а-маахыр (абх.)\n1. ежевика;\n2. малина;\n3. костяника;\n
а-жьаркуыд	а-жьаркуыд (абх.) Cicer arietinum L. Уапшы трыквкъвыд\n1. горох турецкий;\n2. нут бараний;\n
а-жьархаскьын	а-жьархаскьын (абх.) Cichorium intybus L.\n1. цикорий обыкновенный;\n
а-жьгара	а-жьгара (абх.) Vitvinifera L.\n1. виноград культурный (сорт винограда культурного);\n
а-жьынцэры	а-жьынцэры (абх.) Ribes L.\n1. смородина;\nЯгодный кустарник. Плоды смородины обычно красные, иногда черные. Их собирают в большом количестве, употребляют в пищу в свежем виде и варят варенье.
а-жэыргы	а-жэыргы (абх.) Juniperus L.\n1. можжевельник;\nВо флоре КЧР два вида. Растет на скалах и каменистых местах.
а-заракьа	а-заракьа (абх.) Helianthus annuus L.\n1. подсолнечник;\nЦенная масленичная и кормовая культура. Существуют районированные сорта. Жмых подсолнечника используется для откорма скота и птицы.
а-какан	а-какан (абх.) Juglans regL.\n1. орех грецкий;\nВыращивают абазины орех грецкий давно, используют плоды в пищу.
а-какубаа	а-какубаа (абх.)\n1. гриб;\nРазновидностей гриба во флоре КЧР много, среди них съедобные, ядовитые и вредные.
а-калам	а-калам (абх.) Bambusa Schred.\n1. бамбук;\nМноголетнее растение высотой до 40 м. Из числа деревянистых, бамбук самое быстрорастущее дерево.На Кавказе растет 60-70 лет. Абазины использовали для приготовления палок.
а-кама	а-кама (абх.) Anethum graveolens L.\n1. укроп пахучий;\n2. укроп огородный;\nАбазины выращивают на приусадебных участках, используют для солки и в виде приправы к пище.
а-карклаш	а-карклаш (абх.) Cicer arietinum L.\n1. горох турецкий;\nС глубокой древности используется горох как пищевое растение. Надземная часть идет на корм животным, содержит много белка.
а-карпыжэ	а-карпыжэ (абх.) Citrullus vulgarSchrad.\n1. арбуз обыкновенный;\nВ КЧР вид не выращивается, арбуз требователен к свету и теплу.
а-картош	а-картош *(заимствовано из русского) (абх.) Solanum tuberosus L.\n1. картофель;\nВыращивают как пищевое растение. Из картофеля получают муку, спирт, идет и на корм животным.
а-кацахуыр	а-кацахуыр (абх.) BerberL.\n1. барбарис;\nАбазины используют барбарисовое масло как лекарственное средство. В пищу идут и кислые листья барбариса.
а-киркуц	а-киркуц (абх.) Paliurus spina-christi Miller.\n1. держи-дерево колючее;\nКустарник с многочисленными прямыми стеблями до 3 м высотой. Листья короткочерешковые, сверху темно-зеленые, снизу светло-зеленые. Цветки в кистевидные соцветия, мелкие желтоватые. Цветет в июне-июле.Растет в приморской полосе и на предгорьях Абхазии. Встречается на сухих местообитаниях, в лесах, приморских песках, скалистых и обнаженных склонах.Растение медоносное.Находит применение в народной медицине.
а-куны	а-куны (абх.) Linum L.\n1. лен (дикие виды);\nКрасиво цветущие виды, во флоре КЧР встречаются на сухих склонах, лугах.
а-купсха	а-купсха (абх.) Pyrus communL.\n1. груша обыкновенная (сорт груши обыкновенной);\n
а-куыц	а-куыц (абх.) Caragana arborescens L.\n1. акация желтая;\n2. карагана древовидная;\nВ лесах Монголии — обычный представитель. В наших краях выращивается вблизи строений человека.
а-кырклыш	а-кырклыш (абх.) Cicer arietinum L.\n1. горох турецкий;\n
а-кьар	а-кьар (абх.) Hordeum vulgare L.\n1. ячмень обыкновенный;\nВо флоре КЧР встречается и дикая форма ячменя. Выращивается как пищевая культура.
а-лаха	а-лаха (абх.) Ficus carica.\n1. инжир обыкновенный;\n2. фиговое дерево;\nДерево до 10 м высотой. Листья длинночерешковые, цельные или пильчато-лопастные. Цветет в марте-мае, плоды грушевидные, созревают в июле-октябре, при созревании темно-фиолетовые.Растет на освещенных каменистых склонах, в трещинах скал, на стенах древних построек. Растение имеет пищевое значение, применяется в народной медицине.
а-лахкцвымх	а-лахкцвымх (абх.) Rosa L.\n1. роза;\n2. шиповник;\n
а-лыц	а-лыц (абх.) Delphinium speciosum Bieb.\n1. живокость красивая;\nЯдовитое травянистое растение до 100 см высотой. Стебель с длинными волосками. Листья длинночерешковые, округлосердцевидные. Соцветие — кисть. Цветки бледно-голубые или синие.Вид декоративен, растет в альпийском поясе во влажных ущельях, по лощинам спускается ниже до 1600 м над уровнем моря.
а-маахыр	а-маахыр Rubus anatolicus (Focke) Focke.\n1. ежевика;\n2. малина;\n3. костяника анатолийская;\nГодичные побеги гранистые. Цветоносные стебли беловойлочные и редко покрыты шипами. Листья тройчатые или пятерные, по краю пильчатые. Соцветие многоцветковое, в виде кисти. Цветки темно-розовые или пурпуровые. Плоды — костянки многочисленные, опушенные, почти черные, блестящие, съедобные.Растет на каменистых сухих склонах.
а-мар	а-мар (абх.) Ranunculus bulbosus L.\n1. лютик клубненосный;\nМноголетнее опушенное растение. Стебель у основания клубнеобразно утолщенный. Прикорневые листья широкояйцевидные, трехраздельные. Цветки до 2,5 см в диаметре, желтые. Плод — семянка, сжатая с боков.Растет на низменности и в предгорьях до 500 м, в садах и парках, на газонах и на различных культурных площадях как сорное, а также среди кустарников, по опушкам.
а-марч	а-марч (абх.) Ranunculus L. Уапшы щатцага\n1. лютик;\n
а-масхуа	а-масхуа (абх.) Olea europaea L.\n1. маслина европейская;\n2. оливковое дерево;\nДерево до 4-12 м высотой. Листья линейные или овальные, кожистые, 5-8 см длиной. Цветки душистые, в пазушных кистях белые с тупыми лопастями. Плод — костянка овальная или шаровидная, почти черная.Растет на открытых каменистых известняковых склонах, как одичавшее и в виде разновидности встречается во флоре Абхазии.
а-мвха	а-мвха (абх.) Sorbus torminal(L.) Crantz.\n1. рябина глоговина;\nДерево и кустарник до 20 м высотой. Листья длинночерешковые, широкоовальные с 3-5 парами острых лопастей, по краю остропильчатые. Цветет в апреле-мае. Щитки многоцветковые. Плоды яйцевидно-продолговатые;\n созревают в октябре.Растет в лесном поясе в виде примеси единичными экземплярами или небольшими группами.Представляет интерес как декоративный вид.Медонос.
а-мчаша	а-мчаша (абх.) Sorbus boissieri Schneid.\n1. рябина Буасье;\nНевысокое дерево. Листья непарноперистые с 10-17 продолговато-ланцетными, остропильчатыми листочками.Соцветие щитковидное, цветки оранжево-красные или красные.Цветет в июне, плоды созревают в августе-сентябре.Растет в лесном поясе, на опушках единичными экземплярами или небольшими группами.Растение декоративное.Медонос.Находит в медицине применение.
а-мшвха	а-мшвха (абх.) Populus nigra L.\n1. тополь черный;\n2. осокорь;\n
а-мыцмидж	а-мыцмидж (абх.) Punica granatum L.\n1. гранат обыкновенный;\nНебольшое дерево или кустарник 2-5 м высотой с колючими ветвями. Листья супротивные, очередные или в пучках. Цветки одиночные, ярко-красные. Плоды шаровидные, крупные, съедобные. Из них приготовляют приправу к пище, сироп.Растет в Абхазии в долинах рек, на галечниках, реже на каменистых склонах.Растение содержит дубильные вещества, находит и в медицине применение. Светолюбив, засухоустойчив.
а-нмхуц	а-нмхуц (абх.) Aruncus vulgarRaf.\n1. волжанка обыкновенная;\nМноголетнее травянистое растение до 2 м высотой. Стебли прямые, в верхней части ветвистые. Листья длинночерешковые, троякотройственные. Соцветие метельчатое из густых колосовидных ветвей. Цветки мелкие.Растет во всем лесном поясе, обычно во влажных тенистых местах.
а-патыркал	а-патыркал (абх.) Citrus sinensL.\n1. апельсин;\nВо флоре Абхазии с глубокой древности выращивается как один из плодовых деревьев.Ценное плодовое дерево.
а-пкыз	а-пкыз (абх.) Scirpus lacustrL.\n1. камыш озерный;\nИз камыша готовили джьаргьан, в большей степени его использовали для укрытия крыши домов, сараев.
а-пслыш	а-пслыш (абх.) SalL.\n1. ива;\nДревесина мягкая, находит применение для различных поделок.
а-пхаса	а-пхаса (абх.) Prunus divaricata edeb.\n1. алыча;\nПлоды обычно красноватые, съедобны;\n выращивается на усадьбах ради плодов.
а-расатара	а-расатара (абх.) Corylus avellana L. Уапшы раса\n1. лещина обыкновенная;\n2. орешник;\n
а-раш	а-раш (абх.) Ulmus suberosa Moench. Уапшы рашы\n1. вяз пробковый;\n2. карагач;\n
а-самкуыр	а-самкуыр (абх.) Trifolium L. Уапшы хбгъьыкI\n1. клевер;\n
а-саскьыр	а-саскьыр (абх.) Allium victorialL.\n1. черемша;\n2. лук победный;\n
а-сафранць	а-сафранць (абх.) Lens culinarMedic.\n1. чечевица пищевая;\n
а-сахьхэыра	а-сахьхэыра (абх.) Nardus stricta L.\n1. белоус торчащий;\nМноголетнее травянистое растение высотой 10-30 см. Стебли шероховатые, иногда гладкие. Листья жесткие, торчащие. Растение образует густые дерновины.Растет на сырых холодных местах, на высокогорных лугах.В молодом возрасте охотно поедается скотом.
а-сона	а-сона (абх.) Apium graveolens L.\n1. сельдерей пахучий;\nТравянистый двухлетник до 30-60 см высотой. Корень веретеновидный или реповидный, культурной формы. Нижние листья 3-надрезанные. Плод до 2 мм длины.Растет во флоре КЧР на сырых местах, в культуре — повсеместно.В пище используется как приправа.
а-тама	а-тама (абх.) Persica vulgarMill.\n1. персик обыкновенный;\nВо флоре КЧР не встречается. Выращивается отдельными любителями. Плоды похожи на плоды абрикоса, покрыты пушком, но обычный вид флоры Абхазии.Выращивается ради плодов, требователен к свету и теплу.
а-татын	а-татын (абх.) Nicotiana tabacum L. Уапшы тутын\n1. табак;\n
а-тырас	а-тырас (абх.) Dryopterfilix-mas (L.) Scott. Уапшы мгвыхьхъвшв\n1. папоротник мужской;\n2. щитовник мужской;\n
а-тэа	а-тэа (абх.) TilL. Уапшы тшачIвы\n1. липа;\n
а-ха	а-ха (абх.) Pyrus L. Уапшы бнахIа\n1. груша;\n
а-харшьыл	а-харшьыл (абх.) Atriplex L. Уапшы джьаджьашхIва\n1. лебеда;\n
а-хваса	а-хваса (абх.) Prunus divaricata Ledeb.\n1. алыча;\n
а-хларцэ	а-хларцэ (абх.) Cotoneaster integerrima Medic.\n1. кизильник цельнокрайний;\nКустарник до 1,5 м высотой. Соцветие поникающее из 1-3 цветков, лепестки простертые.Листья на цветоносных побегах. Плод с 3-4 косточками.Растет на каменистых местах, поднимается до горного пояса.Декоративен.
а-хуажэ	а-хуажэ (абх.) Rhododendron caucasicum Pall. Уапшы щхъачай\n1. рододендрон кавказский;\n
а-хуац	а-хуац (абх.) Urtica L. Уапшы хъваца\n1. крапива;\n
а-хэфкама	а-хэфкама (абх.) MatricarL.\n1. ромашка;\n
а-ца	а-ца (абх.) Cerasus Miller L.\n1. вишня;\n2. черешня;\n
а-цаацла	а-цаацла (абх.) Betula L. Уапшы цIыхI\n1. береза;\n
а-цамкур	а-цамкур (абх.) Trifolium L.\n1. клевер;\n
а-цаш	а-цаш (абх.) Cerasus avium (L.) Moench.\n1. вишня;\n2. черешня обыкновенная;\n
а-цлаш	а-цлаш (абх.) Populus L. Уапшы псыгъ\n1. тополь;\n
а-цыбра	а-цыбра (абх.) Satureja L. Уапшы квтIухъвшв\n1. чабер;\n
а-цынха	а-цынха (абх.) Brassica rapa L.\n1. репа;\n2. турнепс;\n
а-цыцындра	а-цыцындра (абх.) FragarL. Уапшы жвумп\n1. земляника;\n
а-цэлаа	а-цэлаа (абх.) Ruscus hypophyllum L.\n1. иглица подлистная;\nПолукустарник высотой до 20-40 см. Стебли прямостоячие, цветки по 5-6 в пучке. Плод — ягода красная.Во флоре КЧР встречается в тенистых лесах до среднегорного пояса. Декоративна.
а-цэфзфсф	а-цэфзфсф (абх.) Viola L. Уапшы апхъагIайыра\n1. фиалка;\n
а-цэхуда	а-цэхуда (абх.) Cynodon dactilon (L.) Pers. Уапшы ажьахIвра\n1. свинорой пальчатый;\n
а-чамха	а-чамха (абх.) Fraxinus excelsior L.\n1. ясень обыкновенный;\n
а-чархан	а-чархан (абх.) Rubus buschGrossh L.\n1. ежевика;\n2. малина Буша;\nГодичные побеги прямостоячие, цилиндрические, сизоватые. Листья непарноперистые из 3-7 листочков. Лепестки белые 6-8 мм длины. Костянки многочисленные, красные, ароматные.Растет в лесном поясе, на каменистых и щебнистых местах. Довольно часто — на освещенных участках. Растение медоносное, находит применение в медицине.
а-швирыдзим	а-швирыдзим (абх.) Ficarverna Huds. Уапшы азпкъына\n1. чистец весенний;\n
а-шимха	а-шимха (абх.) Laurocerasus officinalRoemer L.\n1. лавровишня аптечная;\nКустарник со стелющимися, реже прямостоячими стволами до 5 м высотой.Листья короткочерешковые, продолговатые, кожистые, вечнозеленые. Цветки белые до 8 мм в диаметре.Плоды — костянки шаровидные, почти черные. Цветет в апреле-июле, плоды созревают в июне-сентябре в зависимости от высоты над уровнем моря.Растет на влажных склонах, в долинах.Медонос.Находит применение в народной медицине.
а-шхардац	а-шхардац (абх.) Polygonum carneum C. Koch.\n1. горец мясокрасный;\n
абадырга	абадырга\n1. связь связь науки и производства анауки архарджьри радхIвалра связь обучения с производством арыпхьара архарджьра йадхIвалазара связь работает круглые сутки абадырга уахъгьи тшынгьи йынхитI
абазаква	абазаква\n1. абазины
абазаъашы	абазаъашы Malva mauritiana L.\n1. мальва мавританская;\n2. просвирник мавританский;\nОднолетнее травянистое растение. Стебель без боковых побегов до 20-25 см высотой. Листья имеют округлую форму. Мальва цветет весной, летом и осенью;\n лепестки достигают 20-25 мм. длины.Растет на огородах, лугах, в степях;\n плоды округлой формы, съедобны.Абазины выращивают мальву как декоративное, лекарственное растение.
абакIралшара	абакIралшара\n1. боевитость боевитость парторганизации апарторганизация ахъвдаквыщтрата йалу, аджьардамра
абалкъарква	абалкъарква *(заимствовано из русского)\n1. балкарцы
абанпара	абанпара\n1. поколение
абаптистква	абаптистква *(заимствовано из русского)\n1. баптисты
абаркIыра	абаркIыра\n1. цикл цикл лекций лекция абаркIыракI циклы производства архарджьра атлаханква
абасмачква	абасмачква *(заимствовано из русского)\n1. басмачество
абатракква	абатракква *(заимствовано из русского)\n1. батрачество
абашкирква	абашкирква *(заимствовано из русского)\n1. башкиры
абашта	абашта\n1. отечественный отечественная война абашта айсра\n2. отечество
абаштагIв	абаштагIв\n1. соотечественник
абедуинква	абедуинква *(заимствовано из русского)\n1. бедуины
абелгийква	абелгийква *(заимствовано из русского)\n1. бельгийцы
абелогвардейцква	абелогвардейцква *(заимствовано из русского)\n1. белогвардейцы
абелорусква	абелорусква *(заимствовано из русского)\n1. белорусы
абенгальква	абенгальква *(заимствовано из русского)\n1. бенгальцы
абзазагIвчва	абзазагIвчва\n1. население население земного шара адуней гьагьара абзазагIвчва
абирмаква	абирмаква *(заимствовано из русского)\n1. бирманцы
абитуриент	абитуриент *(заимствовано из русского)\n1. абитуриент
аболгарква	аболгарква *(заимствовано из русского)\n1. болгары
аболивийква	аболивийква *(заимствовано из русского)\n1. боливийцы
аборигенква	аборигенква *(заимствовано из русского)\n1. аборигены аборигены Кавказа анцIралагьи КIавкIаз йтабазауа аугIаква
абрикосцIла	абрикосцIла *(заимствовано из русского) Armeniaca Lam. Уапшы абрикос\n1. абрикос обыкновенный;\n
абсентеизм	абсентеизм *(заимствовано из русского)\n1. абсентеизм
абсолют	абсолют *(заимствовано из русского)\n1. абсолютный абсолютная истина чакь злам цIабыргыра абсолютная монархия абсолют монархия абсолютная прибавочная стоимость йгIацылуа абсолют хвы абсолютный идеализм абсолют идеализм
абсолютизм	абсолютизм *(заимствовано из русского)\n1. абсолютизм
абстракт	абстракт *(заимствовано из русского)\n1. абстрактный абстрактное искусство абстракт искусства абстрактное мышление а) абстракт хъвыцщаб) абстрактное понятие абстракт гвынгIвыра абстрактные категории абстракт категорияква
абстракционизм	абстракционизм *(заимствовано из русского)\n1. абстракционизм
абстракция	абстракция *(заимствовано из русского)\n1. абстракция
абуржуа	абуржуа *(заимствовано из русского)\n1. буржуа
абурятква	абурятква *(заимствовано из русского)\n1. буряты
абушменква	абушменква *(заимствовано из русского)\n1. бушмены
авангард	авангард *(заимствовано из русского)\n1. авангард в авангарде борьбы за мир амамыр азабакIрала апхъагылара амазлара\n2. авангардистский авангардистские течения апхъагылара зму анархараква авангардистское искусство апхъагылара зму аискусства\n3. авангардный авангардная роль коммунистов акоммунистква рапхъагылара магIны авангардный отряд апхъагыла гвып
авантюризм	авантюризм *(заимствовано из русского)\n1. авантюризм авантюризм в политике аполитика апны авантюризмра нкъвгара\n2. авантюристический авантюристическая политика агрессоров агвыквсыгIв-кIыгIвчва равантюризм политика авантюристические планы империализма империализм авантюризм мурадква
аварква	аварква *(заимствовано из русского)\n1. аварцы
авенгрква	авенгрква *(заимствовано из русского)\n1. венгры (мадьяры)
авенесуэлква	авенесуэлква *(заимствовано из русского)\n1. венесуэльцы
австраликва	австраликва *(заимствовано из русского)\n1. австралийцы
австралия	австралия *(заимствовано из русского)\n1. австралийский австралийские языки австралия бызшваква
Австралия абзазагIвчва	австралия *(заимствовано из русского)\n1. австралийский австралийские языки австралия бызшваква
автократ	автократ *(заимствовано из русского)\n1. автократия
авторитар	авторитар *(заимствовано из русского)\n1. авторитарный авторитарный режим авторитар ргIапсща
автохтонква	автохтонква *(заимствовано из русского)\n1. автохтоны
авьетнамква	авьетнамква *(заимствовано из русского)\n1. вьетнамцы
агагаузква	агагаузква *(заимствовано из русского)\n1. гагаузы
агара	агара\n1. затрата затрата рабочего времени нхара заманта йаквыдзуа
агвхъауаква	агвхъауаква\n1. адыги\n2. кабардинцы\n3. черкесы
агвынгIвыра	агвынгIвыра\n1. компромиссный компромиссное решение вопроса ауыс ангIалрала йалыргара
агностицизм	агностицизм *(заимствовано из русского)\n1. агностицизм
агрекква	агрекква *(заимствовано из русского)\n1. греки
агрузинква	агрузинква *(заимствовано из русского)\n1. грузины
агул	агул *(заимствовано из русского)\n1. агульский агульский народ агул угIа
агулква	агулква *(заимствовано из русского)\n1. агулы
агъачвара	агъачвара\n1. междоусобица
агътIа	агътPopulus L.\n1. тополь;\nБыстрорастущее дерево. Предпочитает богатую и влажную почву, достигая в хороших условиях до 30-35 м высоты. В лесных культурах и защитных насаждениях встречаются несколько видов: m бальзамический, m канадский, m черный, m пирамидальный, m китайский. Различаются по форме листовой пластинки опушенности, по длине черешка и т. д.Размножается черенками, однако более устойчивые и долголетние насаждения образуются из семян.Древесина используется на топливо, хозяйственные постройки и в бумажной промышленности.
агътIаквайчIва	агътIаквайчIва Populus nigra L.\n1. тополь черный;\n2. осокорь;\nВысокое дерево, достигающее до 25 м высоты. Молодые побеги желто-серые;\n кора стволов темно-серая;\n края листьев пильчатые, на длинных черешках;\n семя с белым пушком.В КЧР растет в поймах рек Подкумка, Кумы, Кубани, Лабы, Белой.Лекарственное растение, используют почки тополя в виде настоя при ожогах и ревматизме.Декоративен. Используется для озеленения дорог, улиц, берегов. Дает легкую малоценную древесину, дубильные вещества, краску, эфирные масла.
агътIацIла	агътIацIла Populus L. Уапшы агътIа\n1. тополь;\n
агътIацIлашкIвокIва	агътIацIлашкIвокIва Populus alba L. Уапшы агътIашкIвокIва\n1. тополь белый, серебристый;\n
агътIашкIвокIва	агътIашкIвокIва Populus alba L.\n1. тополь белолистка;\nВысота дерева достигает 15-25 м, кора стволов белая, молодые побеги беловойлочные;\n листья темно-зеленые, 5-7 лопастные семена покрыты пушком.Белый тополь растет по берегам Подкумка, Кубани, Кумы, на улицах, в лесах.Дерево лекарственное, используют почки при геморрое, а кора и молодые побеги — как противоглистное средство. Имеет красивую крону. Пригоден для озеленения. Дает строительную древесину. Размножается корневыми отпрысками, черенками и семенами.
агъьра	агъьра\n1. преимущество преимущества социализма над капитализмом социализм капитализм ацкIыс йызлагъькву
агъьызлара	агъьызлара\n1. превосходство превосходство социалистической системы над капиталистической социализм ргIапсща капитализм ргIапсща йзлагъьу
агIаджвыквцIара	агIаджвыквцIара\n1. мероприятие дословный перевод: начинание (в значении существителного)новое мероприятиеагIаджвы́квцIара шIы́цпрошедшее вчера мероприятие было очень продолжительнымйацы́ акIвша́з агIаджвы́квцIара шва́быж йуы́ран
агIарбарта	агIарбарта\n1. галерея дословный перевод - место показапосмотреть галереюагIарба́рта апшра́создать новую галереюгIарба́рта шIы́цкI йчпара́
агIарыпква	агIарыпква\n1. арабы
агIвгацIгара	агIвгацIгара\n1. извращение извращение революционной теории ареволюция теория ацакIра, йшаъам апшта йгIарбара
агIвщтга	агIвщтга\n1. пропуск
агIвщтырта	 агIвщтырта\n1. пропускной пропускной пункт агIвщтырта
